# Verse of the Day — the curated list behind the widget, the watch and the complications.
#
# One passage per line: USFM book code, chapter:verse or chapter:verse-verse, a tab, a short theme.
# Keep passages to three verses or fewer so they fit a widget. Canonical order here keeps the
# list easy to review; the day-to-passage order is a fixed permutation (see DailyVerseCatalog),
# so consecutive days move around the whole canon.
#
# Tools/build_companion_data.py turns this into ScriptureAlone/Shared/DailyVerses.json (the
# text in every bundled translation) and docs/daily-verses.md. It fails if a passage is
# missing from any translation (the ASV omits a few verses, e.g. Matthew 17:21).

GEN 1:1	Creation
GEN 1:27	The image of God
GEN 1:31	Very good
GEN 3:15	The first promise of a Savior
GEN 12:2-3	A blessing to all nations
GEN 15:6	Faith counted as righteousness
GEN 18:14	Nothing too hard for the LORD
GEN 22:8	God will provide
GEN 28:15	I am with you
GEN 50:20	God meant it for good
EXO 3:14	I AM WHO I AM
EXO 14:14	The LORD will fight for you
EXO 15:2	My strength and my song
EXO 33:14	My presence will go with you
EXO 34:6	Merciful and gracious
LEV 19:18	Love your neighbor
NUM 6:24-26	The priestly blessing
NUM 23:19	God does not lie
DEU 6:4-5	The Shema
DEU 7:9	The faithful God
DEU 8:3	Not by bread alone
DEU 29:29	The secret things
DEU 31:6	Be strong and courageous
DEU 31:8	He will not forsake you
DEU 33:27	The everlasting arms
JOS 1:8	Meditate day and night
JOS 1:9	Do not be afraid
JOS 24:15	As for me and my house
RUT 1:16	Your God my God
1SA 2:2	None holy like the LORD
1SA 15:22	To obey is better than sacrifice
1SA 16:7	The LORD looks on the heart
2SA 22:31	His way is perfect
1KI 19:12	A still small voice
2KI 6:16	More are with us
1CH 16:11	Seek His face
1CH 16:34	His mercy endures forever
1CH 29:11	Yours is the greatness
2CH 7:14	If My people humble themselves
2CH 16:9	The eyes of the LORD
2CH 20:15	The battle is God’s
NEH 8:10	The joy of the LORD
EST 4:14	For such a time as this
JOB 1:21	Blessed be the name of the LORD
JOB 19:25	My Redeemer lives
JOB 23:10	Refined as gold
JOB 42:2	You can do all things
PSA 1:1-2	The blessed man
PSA 4:8	Sleep in peace
PSA 8:3-4	What is man?
PSA 16:8	I shall not be moved
PSA 16:11	Fullness of joy
PSA 18:2	My rock and fortress
PSA 19:1	The heavens declare
PSA 19:14	Words of my mouth
PSA 23:1	The LORD is my shepherd
PSA 23:4	The valley of the shadow
PSA 23:6	Goodness and mercy
PSA 25:4-5	Teach me Your paths
PSA 27:1	Whom shall I fear?
PSA 27:14	Wait for the LORD
PSA 28:7	My strength and shield
PSA 30:5	Joy comes in the morning
PSA 32:1	Sin forgiven
